Area ,Week ,First-Class Mail ,USPS Marketing Mail ,Periodicals 
Capital Metro ,1/4/20,90.91%,87.74%,84.43%
Capital Metro ,1/11/20,90.38%,82.03%,83.34%
Capital Metro ,1/18/20,92.12%,85.94%,87.35%
Capital Metro ,1/25/20,90.55%,88.62%,86.04%
Capital Metro ,2/1/20,90.22%,88.11%,85.11%
Capital Metro ,2/8/20,91.78%,89.28%,87.92%
Capital Metro ,2/15/20,93.58%,89.84%,89.34%
Capital Metro ,2/22/20,92.29%,90.98%,85.68%
Capital Metro ,2/29/20,92.88%,84.70%,84.43%
Capital Metro ,3/7/20,92.15%,89.99%,85.58%
Capital Metro ,3/14/20,92.86%,89.83%,85.48%
Capital Metro ,3/21/20,93.44%,91.39%,86.61%
Capital Metro ,3/28/20,93.23%,93.33%,86.46%
Capital Metro ,4/1/20,94.20%,90.41%,86.53%
Capital Metro ,4/4/20,92.99%,92.27%,87.31%
Capital Metro ,4/11/20,91.65%,91.72%,81.63%
Capital Metro ,4/18/20,92.87%,92.67%,84.91%
Capital Metro ,4/25/20,92.04%,90.92%,78.95%
Capital Metro ,5/2/20,91.08%,88.45%,77.63%
Capital Metro ,5/9/20,89.71%,86.44%,68.43%
Capital Metro ,5/16/20,91.38%,85.77%,71.09%
Capital Metro ,5/23/20,92.45%,88.50%,78.75%
Capital Metro ,5/30/20,89.55%,88.82%,77.07%
Capital Metro ,6/6/20,90.07%,85.87%,77.74%
Capital Metro ,6/13/20,90.86%,88.67%,78.93%
Capital Metro ,6/20/20,90.76%,89.32%,81.19%
Capital Metro ,6/27/20,91.15%,92.77%,81.11%
Capital Metro ,7/1/20,92.00%,88.45%,80.37%
Capital Metro ,7/4/20,90.81%,86.74%,72.63%
Capital Metro ,7/11/20,87.12%,81.71%,68.58%
Capital Metro ,7/18/20,83.65%,78.91%,66.25%
Capital Metro ,7/25/20,84.31%,79.65%,65.58%
Capital Metro ,8/1/20,83.36%,80.50%,70.06%
Capital Metro ,8/8/20,80.63%,77.33%,68.21%
Capital Metro ,8/15/20,83.11%,80.46%,68.56%
Capital Metro ,8/22/20,86.60%,86.67%,72.47%
Capital Metro ,8/29/20,85.46%,86.13%,68.95%
Capital Metro ,9/5/20,84.59%,82.79%,77.50%
Capital Metro ,9/12/20,83.09%,81.13%,73.59%
Capital Metro ,9/19/20,78.70%,82.41%,75.40%
Capital Metro ,9/26/20,82.65%,85.60%,71.66%
Capital Metro ,10/3/20,82.47%,84.14%,74.88%
Capital Metro ,10/10/20,80.76%,79.76%,69.98%
Capital Metro ,10/17/20,73.69%,75.48%,68.29%
Capital Metro ,10/24/20,74.19%,71.22%,62.56%
Eastern ,1/4/20,91.55%,92.72%,87.05%
Eastern ,1/11/20,92.64%,90.84%,89.31%
Eastern ,1/18/20,93.93%,92.72%,91.71%
Eastern ,1/25/20,92.21%,94.23%,87.53%
Eastern ,2/1/20,92.30%,93.80%,91.07%
Eastern ,2/8/20,93.13%,94.04%,89.85%
Eastern ,2/15/20,94.59%,94.32%,91.21%
Eastern ,2/22/20,93.18%,95.21%,90.93%
Eastern ,2/29/20,93.38%,94.95%,90.31%
Eastern ,3/7/20,92.88%,94.59%,90.24%
Eastern ,3/14/20,92.91%,94.37%,88.19%
Eastern ,3/21/20,93.69%,94.15%,88.22%
Eastern ,3/28/20,93.37%,95.10%,88.79%
Eastern ,4/1/20,93.95%,93.45%,88.85%
Eastern ,4/4/20,92.93%,93.34%,87.38%
Eastern ,4/11/20,91.43%,91.62%,80.24%
Eastern ,4/18/20,92.12%,92.55%,81.49%
Eastern ,4/25/20,91.18%,90.27%,77.48%
Eastern ,5/2/20,91.23%,90.78%,79.48%
Eastern ,5/9/20,91.38%,91.40%,72.02%
Eastern ,5/16/20,91.88%,92.85%,77.68%
Eastern ,5/23/20,93.24%,90.27%,80.40%
Eastern ,5/30/20,91.66%,92.04%,80.77%
Eastern ,6/6/20,92.14%,91.98%,81.58%
Eastern ,6/13/20,92.73%,92.57%,82.71%
Eastern ,6/20/20,92.34%,91.98%,82.02%
Eastern ,6/27/20,92.27%,93.63%,83.13%
Eastern ,7/1/20,93.02%,92.33%,80.62%
Eastern ,7/4/20,91.09%,89.09%,78.91%
Eastern ,7/11/20,85.29%,82.02%,74.92%
Eastern ,7/18/20,79.00%,74.45%,73.60%
Eastern ,7/25/20,78.04%,79.19%,72.43%
Eastern ,8/1/20,79.75%,81.17%,68.68%
Eastern ,8/8/20,78.98%,80.10%,71.14%
Eastern ,8/15/20,83.65%,85.46%,75.94%
Eastern ,8/22/20,88.25%,90.73%,78.16%
Eastern ,8/29/20,88.53%,90.51%,77.46%
Eastern ,9/5/20,88.90%,88.92%,80.83%
Eastern ,9/12/20,86.27%,86.20%,78.87%
Eastern ,9/19/20,82.98%,87.18%,81.00%
Eastern ,9/26/20,84.81%,89.98%,78.69%
